,Title,Rank,Type,Episodes,Aired,Score
300,Fengshen Bang,12237,Movie,1,Feb 1976 - Feb 1976,4.84
301,Daikuu Maryuu Gaiking,4733,TV,44,Apr 1976 - Jan 1977,6.83
302,Tori no Uta,6993,OVA,1,Jan 2007 - Jan 2007,6.38
303,"Urawa no Usagi-chan: Natsu no Hi to, Bushitsu to, Tomodachi to",11203,Special,1,Oct 2015 - Oct 2015,5.38
304,Shihaisha no Tasogare,9719,OVA,1,Jan 1998 - Jan 1998,5.8
305,Bulg-eunmae,11038,Movie,1,Aug 1995 - Aug 1995,5.43
306,Ginga Tetsudou no Yoru,2289,Movie,1,Jul 1985 - Jul 1985,7.35
307,GA: Geijutsuka Art Design Class,3351,TV,12,Jul 2009 - Sep 2009,7.14
308,Tensei Oujo to Tensai Reijou no Mahou Kakumei,1690,TV,12,Jan 2023 - Mar 2023,7.51
309,"Boku no Imouto wa ""Osaka Okan""",9967,TV,12,Dec 2012 - Mar 2013,5.74
310,Ze Tian Ji 2nd Season,4433,ONA,12,Jul 2016 - Oct 2016,6.9
311,Wo de Tian Jie Nu You,6609,ONA,15,Sep 2017 - Jan 2018,6.46
312,Naruto: Shippuuden Movie 4 - The Lost Tower,2001,Movie,1,Jul 2010 - Jul 2010,7.42
313,Denshin Denrei Denwa,11849,Movie,1,1931 - 1931,5.1
314,Meng Ta: Xue Mi Cheng,9482,ONA,13,Jun 2018 - Aug 2018,5.86
315,Rainbow: Nisha Rokubou no Shichinin,134,TV,26,Apr 2010 - Sep 2010,8.48
316,Detective Conan: Let's Experience the Jomon Period!,9505,OVA,1,Jun 1999 - Jun 1999,5.86
317,BNA,2283,TV,12,Apr 2020 - Jun 2020,7.35
318,Eyeshield 21: Maboroshi no Golden Bowl,5856,Special,1,Aug 2004 - Aug 2004,6.6
319,Gasshin Sentai Mechander Robo,9797,TV,35,Mar 1977 - Dec 1977,5.78
320,3-nen D-gumi Glass no Kamen: Tobidase! Watashitachi no Victory Road,10979,Movie,1,Jul 2017 - Jul 2017,5.45
321,Kidou Senshi Gundam: Tekketsu no Orphans 2nd Season,304,TV,25,Oct 2016 - Apr 2017,8.23
322,Megane-bu!,7653,TV,12,Oct 2013 - Dec 2013,6.25
323,Boku dake ga Inai Machi,234,TV,12,Jan 2016 - Mar 2016,8.31
324,Blue Thermal,5146,Movie,1,Mar 2022 - Mar 2022,6.74
325,Superflat Monogram,6677,Special,1,2003 - 2003,6.44
326,Bounen no Xamdou,1279,ONA,26,Jul 2008 - Feb 2009,7.64
327,Re:Zero kara Hajimeru Break Time,5651,Special,11,Apr 2016 - Jun 2016,6.64
328,Gintama.: Shirogane no Tamashii-hen,30,TV,12,Jan 2018 - Mar 2018,8.81
329,Senpai ga Uzai Kouhai no Hanashi,1380,TV,12,Oct 2021 - Dec 2021,7.61
330,Inu ni Nattara Suki na Hito ni Hirowareta.,11846,TV,12,Jan 2023 - Mar 2023,5.11
331,Ninkuu (Movie),8682,Movie,1,Jul 1995 - Jul 1995,6.04
332,Kaitei Choutokkyuu: Marine Express,7233,Special,1,Aug 1979 - Aug 1979,6.34
333,Wena Wrist,11772,Special,1,Jan 2020 - Jan 2020,5.14
334,Deca-Dence,2202,TV,12,Jul 2020 - Sep 2020,7.37
335,Jiu Tian Xuan Di Jue,5556,ONA,40,Aug 2021 - Dec 2021,6.66
336,Chousoku Henkei Gyrozetter,6765,TV,51,Oct 2012 - Sep 2013,6.43
337,Yami Shibai,4023,TV,13,Jul 2013 - Sep 2013,7
338,Gunslinger Stratos The Animation,8651,TV,12,Apr 2015 - Jun 2015,6.05
339,Mugen no Ryvius,1986,TV,26,Oct 1999 - Mar 2000,7.43
340,Strange Dawn,7341,TV,13,Jul 2000 - Sep 2000,6.32
341,Nanaraki: Seven Lucky Gods,12175,ONA,12,Apr 2022 - Dec 2022,4.89
342,Yesterday wo Utatte: Haishin-ban Episode,5740,ONA,6,Apr 2020 - Jun 2020,6.63
343,Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai,809,Movie,1,Mar 2014 - Mar 2014,7.86
344,Lovedol: Lovely Idol OVA,9085,OVA,1,Mar 2007 - Mar 2007,5.95
345,Heybot!,9322,TV,50,Sep 2016 - Sep 2017,5.9
346,Tales of the Abyss,2619,TV,26,Oct 2008 - Mar 2009,7.28
347,Lemon Angel Project,6229,TV,13,Jan 2006 - Mar 2006,6.53
348,Macross Fufonfia Specials,11101,Special,3,Dec 2013 - Dec 2013,5.42
349,Gifuu Doudou!!: Kanetsugu to Keiji,6792,TV,25,Jul 2013 - Dec 2013,6.42
350,Lupin III: $1 Money Wars,3513,Special,1,Jul 2000 - Jul 2000,7.11
351,Sakigake!! Otokojuku Movie,5929,Movie,1,Jul 1988 - Jul 1988,6.59
352,Deltora Quest,3680,TV,65,Jan 2007 - Mar 2008,7.07
353,Maze☆Bakunetsu Jikuu: Hot Springs,8743,Special,1,1998 - 1998,6.03
354,Orange: Mirai,1877,Movie,1,Nov 2016 - Nov 2016,7.45
355,Starmyu OVA,3443,OVA,2,Jul 2016 - Sep 2016,7.13
356,Kaguya-hime no Monogatari,348,Movie,1,Nov 2013 - Nov 2013,8.2
357,Ze Tian Ji,5005,ONA,13,Jul 2015 - Dec 2015,6.77
358,Muka Muka Paradise,4219,TV,51,Sep 1993 - Aug 1994,6.95
359,Yokoyama Mitsuteru Sangokushi,2467,TV,47,Oct 1991 - Sep 1992,7.32
360,Adachi to Shimamura,3546,TV,12,Oct 2020 - Dec 2020,7.1
361,Joshiraku OVA,2163,OVA,1,Feb 2013 - Feb 2013,7.38
362,Dai Mahou Touge,4270,OVA,4,Mar 2006 - Mar 2007,6.93
363,"Keroro Gunsou Movie 5: Tanjou! Kyuukyoku Keroro, Kiseki no Jikuu-jima, de Arimasu!!",3853,Movie,1,Feb 2010 - Feb 2010,7.03
364,Somali to Mori no Kamisama,886,TV,12,Jan 2020 - Mar 2020,7.82
365,"Shounen Maid: Onna wa Dokyou, Otoko wa Aikyou?",3462,Special,1,Aug 2016 - Aug 2016,7.12
366,Nandaka Velonica,8953,TV,10,Mar 2014 - Mar 2014,5.98
367,Hakkenden: Touhou Hakken Ibun,2144,TV,13,Jan 2013 - Mar 2013,7.39
368,Shinkon Gattai Godannar!! 2nd Season,4479,TV,13,Apr 2004 - Jun 2004,6.89
369,Anju to Zushioumaru,8578,Movie,1,Jul 1961 - Jul 1961,6.06
370,Ai to Shi,11314,Special,1,Mar 2013 - Mar 2013,5.34
371,Trouble Chocolate,6394,TV,20,Oct 1999 - Mar 2000,6.5
372,School Rumble: Ichi Gakki Hoshuu,1131,OVA,2,Dec 2005 - Dec 2005,7.71
373,Koukaku Kidoutai Arise: Alternative Architecture,2903,TV,10,Apr 2015 - Jun 2015,7.23
374,Gundam: G no Reconguista Movie V - Shisen wo Koete,3561,Movie,1,Aug 2022 - Aug 2022,7.1
375,Zan Sayonara Zetsubou Sensei Bangaichi,997,OVA,2,Nov 2009 - Feb 2010,7.76
376,Kämpfer für die Liebe,6711,Special,2,Mar 2011 - Mar 2011,6.44
377,Lupin III vs. Detective Conan: The Movie,800,Movie,1,Dec 2013 - Dec 2013,7.86
378,Nobunagun,5495,TV,13,Jan 2014 - Mar 2014,6.67
379,Digimon Adventure:,6785,TV,67,Apr 2020 - Sep 2021,6.42
380,Tao Hua Yuan Ji,10015,Movie,1,2006 - 2006,5.73
381,Megami Paradise,11357,OVA,2,Jun 1995 - Aug 1995,5.33
382,Kirin Gogo no Koucha x BanG Dream! Collab Animation CM Koukai!,9691,ONA,1,Dec 2019 - Dec 2019,5.81
383,Thunder,11160,Movie,1,1982 - 1982,5.39
384,Choubakuretsu Ijigen Menko Battle: Gigant Shooter Tsukasa,10985,TV,32,Apr 2014 - Feb 2015,5.45
385,Sonny Boy,992,TV,12,Jul 2021 - Oct 2021,7.77
386,VERSEⁿ: Episodeⁿ - Kuusou,8030,ONA,1,Nov 2021 - Nov 2021,6.18
387,Boku no Kanojo ga Majimesugiru Sho-bitch na Ken,7747,TV,10,Oct 2017 - Dec 2017,6.23
388,Psycho-Pass: Sinners of the System Case.2 - First Guardian,1828,Movie,1,Feb 2019 - Feb 2019,7.47
389,Chuunibyou demo Koi ga Shitai! Kirameki no... Slapstick Noel,1749,Special,1,Jun 2013 - Jun 2013,7.49
390,Sono Kinisasete yo: My My Mai,10187,OVA,2,Dec 1993 - Jan 1994,5.68
391,Inukami!,2899,TV,26,Apr 2006 - Sep 2006,7.23
392,Black Bullet,3618,TV,13,Apr 2014 - Jul 2014,7.09
393,Samurai Mac,10240,Special,1,Dec 2022 - Dec 2022,5.67
394,Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!,7099,TV,12,Oct 2019 - Dec 2019,6.36
395,Arigatou Gomennasai,12538,Movie,1,2009 - 2009,4.52
396,Shukufuku no Campanella: La Campanella Della Benedizione,6667,OVA,1,Mar 2011 - Mar 2011,6.45
397,Gensoumaden Saiyuuki: Kibou no Zaika,4541,OVA,1,Sep 2002 - Sep 2002,6.87
398,Soukyuu no Fafner: Dead Aggressor - Exodus,2235,TV,13,Jan 2015 - Apr 2015,7.37
399,Pokemon: Pikachu no Fuyuyasumi (2000),6899,OVA,2,Dec 1999 - Dec 1999,6.4
400,Misaki no Mayoiga,5051,Movie,1,Aug 2021 - Aug 2021,6.76
401,Kamen Rider Fourze x Crayon Shin-chan,9997,Special,4,Apr 2012 - Apr 2012,5.73
402,Fight Ippatsu! Juuden-chan!!,5833,TV,12,Jun 2009 - Sep 2009,6.61
403,Detroit Metal City: Birth of the Metal Devil,2577,Special,1,Jul 2008 - Jul 2008,7.29
404,Zutto Mae kara Suki deshita. Kokuhaku Jikkou Iinkai: Kinyoubi no Ohayou,3246,Special,1,Oct 2016 - Oct 2016,7.16
405,Asobi Asobase Specials,1403,Special,2,Nov 2018 - Dec 2018,7.59
406,Dahua Zhi Shaonian You,9574,ONA,16,Aug 2020 - Nov 2020,5.84
407,The Kabocha Wine,4717,TV,95,Jul 1982 - Aug 1984,6.83
408,Turn A Gundam,1025,TV,50,Apr 1999 - Apr 2000,7.75
409,First Squad: The Moment of Truth,9113,Movie,1,May 2009 - May 2009,5.95
410,Gundam: G no Reconguista,9453,TV,26,Oct 2014 - Mar 2015,5.87
411,Otousan wa Ai no Hito,7501,ONA,1,Jul 2016 - Jul 2016,6.29
412,B-Legend! Battle B-Daman,7476,TV,52,Jan 2004 - Dec 2004,6.29
413,Sore Ike! Anpanman: Tsumikijou no Himitsu,8081,Movie,1,Mar 1992 - Mar 1992,6.17
414,Oh! Super Milk-chan,8811,TV,12,Jan 2000 - Apr 2000,6.01
415,Oretachi ni Tsubasa wa Nai: Hadairo Ritsu Kyuuwari Zou!?,6974,OVA,1,Jun 2011 - Jun 2011,6.39
416,Pokemon Movie 16: Shinsoku no Genosect - Mewtwo Kakusei,7205,Movie,1,Jul 2013 - Jul 2013,6.34
417,Jikuu Boukenki Zentrix,8002,TV,26,Apr 2003 - Sep 2003,6.18
418,Soukou Kihei Votoms,1159,TV,52,Apr 1983 - Mar 1984,7.7
419,Aitsu to Lullaby: Suiyobi no Cinderella,9674,Movie,1,Aug 1987 - Aug 1987,5.81
420,Denpa-teki na Kanojo,1701,OVA,2,Feb 2009 - Dec 2009,7.51
421,Fuuun Ishin Dai☆Shogun,10205,TV,12,Apr 2014 - Jun 2014,5.68
422,Gijinka de Manabo!,11673,ONA,1,Nov 2016 - Nov 2016,5.19
423,Minna Atsumare! Falcom Gakuen,9222,TV,13,Jan 2014 - Mar 2014,5.92
424,Jack to Mame no Ki (OVA),9584,OVA,1,1989 - 1989,5.84
425,Kurayami Santa,11795,TV,13,Jul 2015 - Sep 2015,5.13
426,Kuragehime: Soreike! Amars Tankentai,10522,Special,6,Aug 2010 - Sep 2010,5.59
427,Da Wei Bei Ken: Daomei Tegong Xiong,11087,Movie,1,Jan 2017 - Jan 2017,5.42
428,Tottoko Hamtarou no Tottoko Daijida!! Bousai Kunren,8624,OVA,1,2003 - 2003,6.05
429,Initial D Battle Stage 2,1262,OVA,1,May 2007 - May 2007,7.65
430,10-pun de Oitsukeru: Shingeki no Kyojin,8176,ONA,1,Jul 2018 - Jul 2018,6.14
431,Atagoal wa Neko no Mori,9728,Movie,1,Oct 2006 - Oct 2006,5.8
432,Cinderella Girls Gekijou: Kayou Cinderella Theater 3rd Season,7219,ONA,7,Jul 2018 - Sep 2018,6.34
433,Mousou Kagaku Series: Wandaba Style,8210,TV,12,Apr 2003 - Jun 2003,6.14
434,Kamigawa: Kagayakeru Sekai,6071,ONA,1,Feb 2022 - Feb 2022,6.56
435,Teekyuu 7 Specials,8478,Special,2,May 2016 - May 2016,6.08
436,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II OVA,6618,OVA,1,Jan 2020 - Jan 2020,6.46
437,"Eiyuu-ou, Bu wo Kiwameru Tame Tenseisu Mini Anime",9761,ONA,24,Oct 2022 - Mar 2023,5.79
438,100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,4859,TV,12,Jul 2021 - Sep 2021,6.8
439,Wo Shi Jiang Xiaobai 2nd Season,7796,ONA,12,Nov 2018 - Jan 2019,6.22
440,New Initial D Movie: Legend 2 - Tousou,946,Movie,1,May 2015 - May 2015,7.79
441,RPG Densetsu Hepoi,3525,TV,50,Oct 1990 - Sep 1991,7.11
442,"Soukou Kihei Votoms Vol.II: Highlights from the ""A.T.Votoms""",8814,OVA,1,Jul 1985 - Jul 1985,6.01
443,Shiguang Dailiren Special: Xiaoyao Sanren de Weituo,9489,ONA,1,Aug 2021 - Aug 2021,5.86
444,Toaru Hikuushi e no Koiuta,3244,TV,13,Jan 2014 - Mar 2014,7.16
445,Bubuki Buranki: Hoshi no Kyojin,5071,TV,12,Oct 2016 - Dec 2016,6.76
446,Fuyu no Hi,8774,Movie,1,Nov 2003 - Nov 2003,6.02
447,Hentai Ouji to Warawanai Neko.: Henneko BBS,5403,Special,13,Jun 2013 - Nov 2013,6.69
448,Patapata Hikousen no Bouken,1633,TV,26,Jan 2002 - Jun 2002,7.53
449,DinoZone,10845,OVA,5,Nov 1998 - Jan 2000,5.5
450,Rurouni Kenshin: Special Techniques,3156,Special,1,Oct 1997 - Oct 1997,7.18
451,Aquarion Logos,10082,TV,26,Jul 2015 - Dec 2015,5.71
452,Jijou wo Shiranai Tenkousei ga Guigui Kuru.,1560,TV,13,Apr 2023 - Jul 2023,7.55
453,Happy ComeCome,11393,Movie,1,Mar 2015 - Mar 2015,5.32
454,Shakugan no Shana-tan,3707,Special,4,Jan 2006 - Apr 2007,7.07
455,Ikebukuro West Gate Park,4544,TV,12,Oct 2020 - Dec 2020,6.87
456,Heibai Wushang,8269,ONA,12,Jul 2015 - Feb 2016,6.13
457,Hikari: Kariya wo Tsunagu Monogatari,10551,Special,1,Mar 2016 - Mar 2016,5.59
458,Madou King Granzort: Bouken-hen,8204,OVA,3,Mar 1992 - Jun 1992,6.14
459,Garo: Vanishing Line,3412,TV,24,Oct 2017 - Mar 2018,7.13
460,Girls & Panzer: Shoukai Shimasu!,5545,Special,2,Nov 2012 - Dec 2012,6.66
461,Time Bokan Series: Gyakuten Ippatsuman,9561,TV,58,Feb 1982 - Mar 1983,5.84
462,The Big O,1639,TV,26,Oct 1999 - Mar 2003,7.53
463,Chiisana Jumbo,10266,Movie,1,Sep 1977 - Sep 1977,5.66
464,Fate/Zero,265,TV,13,Oct 2011 - Dec 2011,8.28
465,Miyakawa-ke no Kuufuku,6359,ONA,10,Apr 2013 - Jul 2013,6.51
466,Tottoko Hamtarou Movie 4: Hamtaro to Fushigi no Oni no Emon Tou,6912,Movie,1,Dec 2004 - Dec 2004,6.4
467,Hitomi no Naka no Shounen: Juugo Shounen Hyouryuuki,7251,Special,1,Oct 1987 - Oct 1987,6.33
468,Sylvanian Families,10977,Special,3,Apr 2007 - May 2007,5.45
469,The Place Where We Were,10834,Movie,1,2008 - 2008,5.5
470,Cardfight!! Vanguard: will+Dress,4727,TV,13,Jul 2022 - Sep 2022,6.83
471,Ashita no Joe Pilots,8121,Special,2,Nov 1969 - Dec 1969,6.15
472,Eureka Seven AO: One More Time - Lord Don't Slow Me Down,5762,ONA,5,Jan 2017 - Mar 2017,6.62
473,Fafa Movie,12535,ONA,2,Mar 2010 - Jan 2011,4.53
474,Tottoko Hamtarou: Anime Dechu!,8760,OVA,1,Sep 1999 - Sep 1999,6.02
475,Kishuku Gakkou no Juliet,1872,TV,12,Oct 2018 - Dec 2018,7.45
476,Crayon Shin-chan Movie 17: Otakebe! Kasukabe Yasei Oukoku,4928,Movie,1,Apr 2009 - Apr 2009,6.79
477,Nagagutsu wo Haita Neko no Bouken,5726,TV,26,Apr 1992 - Sep 1992,6.63
478,Doubutsu Sumo Taikai,12447,Movie,1,1931 - 1931,4.65
479,Shingeki no Kyotou,7065,Movie,1,Apr 2017 - Apr 2017,6.37
480,Nabari no Ou,2760,TV,26,Apr 2008 - Sep 2008,7.26
481,Candy Candy: Candy no Natsu Yasumi,5452,Movie,1,Jul 1978 - Jul 1978,6.68
482,Witch Craft Works,4022,TV,12,Jan 2014 - Mar 2014,7
483,Okusama ga Seitokaichou!,5954,TV,12,Jul 2015 - Sep 2015,6.58
484,Business Fish,11422,TV,6,Jul 2019 - Aug 2019,5.3
485,Soreyuke! Uchuu Senkan Yamamoto Youko,8813,OVA,3,Mar 1996 - Jun 1996,6.01
486,Nyan Koi!,3430,TV,12,Oct 2009 - Dec 2009,7.13
487,One Piece Movie 08: Episode of Alabasta - Sabaku no Oujo to Kaizoku-tachi,2453,Movie,1,Mar 2007 - Mar 2007,7.32
488,Chou Henshin Cosprayers,12263,TV,8,Jan 2004 - Mar 2004,4.81
489,Keroro Gunsou Movie 4: Gekishin Dragon Warriors de Arimasu!,2806,Movie,1,Mar 2009 - Mar 2009,7.25
490,Xing Yu Siwan Nian,2259,ONA,16,Oct 2022 - Jan 2023,7.36
491,Meme Iroiro Yume no Tabi,5172,TV,127,Apr 1983 - Sep 1985,6.74
492,Bai Ye Ling Long,7615,ONA,25,Jun 2018 - Nov 2018,6.26
493,Hello Kitty no Oyayubi-hime (OVA),10756,OVA,1,Dec 2001 - Dec 2001,5.53
494,Dr. Slump: Arale-chan '92 Oshougatsu Special,9758,Special,3,Jan 1992 - Jan 1992,5.79
495,Freezing Vibration Specials,6619,Special,6,Dec 2013 - May 2014,6.46
496,Nezumi no Rusuban,12578,Movie,1,1931 - 1931,4.46
497,Kamisama Hajimemashita OVA,541,OVA,2,Aug 2013 - Aug 2013,8.04
498,Durarara!!x2 Ten,622,TV,12,Jul 2015 - Sep 2015,7.97
499,Wall,12154,Movie,1,1987 - 1987,4.9
500,Jewelpet Magical Change,4280,TV,39,Apr 2015 - Dec 2015,6.93
501,Pianoman,7592,ONA,1,Jan 2020 - Jan 2020,6.27
502,Ankoku Shinwa,12684,OVA,2,Jan 1990 - Feb 1990,4.11
503,New Dream Hunter Rem: Setsuriku no Mudenmekyu,6970,OVA,1,Dec 1992 - Dec 1992,6.39
504,Majin Tantei Nougami Neuro,1413,TV,25,Oct 2007 - Mar 2008,7.59
505,Pokemon: Aki no Special,10007,Special,1,Oct 1997 - Oct 1997,5.73
506,Pokemon,2173,TV,276,Apr 1997 - Nov 2002,7.38
507,Choco Kyouju no Oheya,12483,ONA,1,Apr 2016 - Apr 2016,4.61
508,Dragon Ball Movie 4: Saikyou e no Michi,3483,Movie,1,Mar 1996 - Mar 1996,7.12
509,Love Live! School Idol Project OVA,4605,OVA,1,Nov 2013 - Nov 2013,6.86
510,Uzaki-chan wa Asobitai!,4020,TV,12,Jul 2020 - Sep 2020,7
511,Tales of Vesperia: The First Strike,1477,Movie,1,Oct 2009 - Oct 2009,7.57
512,Roujin Z,3846,Movie,1,Sep 1991 - Sep 1991,7.04
513,Kashimashi: Girl Meets Girl,5716,TV,12,Jan 2006 - Mar 2006,6.63
514,Houkago no Pleiades,8292,ONA,4,Feb 2011 - Feb 2011,6.12
515,Suki tte Ii na yo. Mei and Marshmallow,4708,Special,10,Dec 2012 - May 2013,6.84
516,Hi no Tori: Uchuu-hen,4043,OVA,1,Dec 1987 - Dec 1987,7
517,Pokemon Best Wishes! Season 2,6811,TV,24,Jun 2012 - Jan 2013,6.42
518,Elf-ban Kakyuusei: Anata dake wo Mitsumete...,8431,OVA,4,Nov 1997 - Jun 1998,6.09
519,Dibetagurashi: Ahiru no Seikatsu,10541,TV,39,Apr 2013 - Mar 2014,5.59
520,Tie Shan Gongzhu,11486,Movie,1,Jan 1941 - Jan 1941,5.28
521,Arata Kangatari Picture Drama,9675,Special,6,Jun 2013 - Nov 2013,5.81
522,Wakaokami wa Shougakusei! Movie,1735,Movie,1,Sep 2018 - Sep 2018,7.5
523,Gegege no Kitarou (2018),3015,TV,97,Apr 2018 - Mar 2020,7.21
524,Bakuman.: Deraman.,3199,Special,2,Sep 2012 - Jan 2013,7.17
525,Aloha! Youkai Watch: Rakuen Hawaii de Geragerapou!!,10080,ONA,1,Jun 2015 - Jun 2015,5.71
526,Senkou no Night Raid Specials,4776,Special,3,Jun 2010 - Dec 2010,6.82
527,Mini Hama: Minimum Hamatora Movies,9013,Movie,2,Nov 2015 - Nov 2015,5.97
528,Pokemon (2019): Natsuyasumi Chokuzen 1-jikan Special,9715,Special,1,Jul 2021 - Jul 2021,5.8
529,IDOLiSH7,1118,TV,17,Jan 2018 - May 2018,7.71
530,Anime Sanjuushi,3614,TV,52,Oct 1987 - Feb 1989,7.09
531,Yowai Mushi,9241,Special,1,Nov 2012 - Nov 2012,5.92
532,Shoka,9287,Special,1,Mar 2010 - Mar 2010,5.91
533,Iron Man: Rise of Technovore,8136,OVA,1,Apr 2013 - Apr 2013,6.15
534,Twisted-Wonderland 3-shuunen Kinen PV,7154,ONA,1,Mar 2023 - Mar 2023,6.35
535,Liang Bu Yi 2nd Season,2501,ONA,24,Oct 2022 - Apr 2023,7.31
536,Robot Taekwon V,12498,Movie,1,Jul 1976 - Jul 1976,4.59
537,High School Jingi,9803,OVA,1,Feb 1992 - Feb 1992,5.78
538,Cinterrier-jou no Hanamuko,12400,Movie,1,1954 - 1954,4.69
539,Kurogane Communication,5320,TV,24,Oct 1998 - Mar 1999,6.71
540,21 Emon Uchuu e Irasshai!,9620,Movie,1,Aug 1981 - Aug 1981,5.83
541,Dragon Quest: Dai no Daibouken Tachiagare!! Aban no Shito,6851,Movie,1,Mar 1992 - Mar 1992,6.41
542,Youkai Watch Movie 6: Youkai Gakuen Y - Neko wa Hero ni Nareru ka,9309,Movie,1,Dec 2019 - Dec 2019,5.9
543,Holiday Advent Calendar 2018,11664,ONA,13,Dec 2018 - Dec 2018,5.2
544,Monster Musume no Iru Nichijou OVA,3451,OVA,2,Nov 2016 - Apr 2017,7.12
545,Glasslip,11091,TV,13,Jul 2014 - Sep 2014,5.42
546,Aoki Hagane no Arpeggio: Ars Nova,2282,TV,12,Oct 2013 - Dec 2013,7.35
547,Tokyo Mew Mew,3667,TV,52,Apr 2002 - Mar 2003,7.08
548,Cleopatra D.C.,9639,OVA,3,Apr 1989 - May 1991,5.82
549,Eien no Aselia,11390,OVA,2,Jun 2005 - Mar 2006,5.32
550,Terra e... (TV),762,TV,24,Apr 2007 - Sep 2007,7.88
551,World Trigger 2nd Season,508,TV,12,Jan 2021 - Apr 2021,8.06
552,Ma Shen,10001,ONA,16,Jun 2016 - Nov 2016,5.73
553,Gotou ni Naritai.,3904,Movie,1,Oct 1995 - Oct 1995,7.03
554,Sakura Taisen: Le Nouveau Paris,6744,OVA,3,Oct 2004 - Mar 2005,6.43
555,Kishin Taisen Gigantic Formula,4968,TV,26,Apr 2007 - Sep 2007,6.78
556,Ace wo Nerae! 2,3193,OVA,13,Jul 1988 - Oct 1988,7.17
557,Ultra Maniac OVA,5742,OVA,1,Aug 2002 - Aug 2002,6.62
558,Ore dake Haireru Kakushi Dungeon,7440,TV,12,Jan 2021 - Mar 2021,6.3
559,Sabaku no Kuni no Oujosama,10922,OVA,1,Mar 2001 - Mar 2001,5.47
560,Gunslinger Stratos The Animation: Bunki/Futatsu no Mirai,8775,Special,1,Jun 2015 - Jun 2015,6.02
561,Chrome Shelled Regios,2633,TV,24,Jan 2009 - Jun 2009,7.28
562,Tanoshii Muumin Ikka Bouken Nikki,1887,TV,26,Oct 1991 - Mar 1992,7.45
563,Hijikata Toshizou: Shiro no Kiseki,8438,OVA,1,Jan 2004 - Jan 2004,6.09
564,Persona 3 the Movie 2: Midsummer Knight's Dream,1378,Movie,1,Jun 2014 - Jun 2014,7.61
565,Yao Shen Ji 4th Season,2326,ONA,52,Apr 2020 - Sep 2020,7.34
566,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,70,TV,12,Apr 2020 - Jun 2020,8.64
567,Ninja Hattori-kun (2012),6078,TV,52,May 2012 - Feb 2015,6.56
568,Yuru Yuri Nachuyachumi!,817,OVA,1,Feb 2015 - Feb 2015,7.85
569,Duel Masters Victory V3,10346,TV,51,Apr 2013 - Mar 2014,5.64
570,Golden Kamuy,796,TV,12,Apr 2018 - Jun 2018,7.87
571,Great Pretender,310,TV,23,Jul 2020 - Dec 2020,8.23
572,Zegapain,2617,TV,26,Apr 2006 - Sep 2006,7.29
573,White Album 2,1354,TV,13,Oct 2013 - Dec 2013,7.62
574,4-nin wa Sorezore Uso wo Tsuku,3328,TV,11,Oct 2022 - Dec 2022,7.15
575,Hina Logi: From Luck & Logic,5683,TV,12,Jul 2017 - Sep 2017,6.64
576,Pokemon Sun & Moon Planetarium,8382,Movie,1,Sep 2017 - Sep 2017,6.1
577,Tokimeki Memorial 4 OVA,8970,OVA,1,Dec 2009 - Dec 2009,5.98
578,Jungle Taitei: Yuuki ga Mirai wo Kaeru,5384,Special,1,Sep 2009 - Sep 2009,6.7
579,Dimension W: Short Track/Robot wa Sentou no Yume wo Miruka,5761,Special,1,Aug 2016 - Aug 2016,6.62
580,Bakugan Battle Brawlers,6760,TV,52,Apr 2007 - Mar 2008,6.43
581,Hibike! Euphonium,596,TV,13,Apr 2015 - Jul 2015,8
582,Ray The Animation,5926,TV,13,Apr 2006 - Jun 2006,6.59
583,Norakuro Shoui: Nichiyoubi no Kaijiken,12377,Movie,1,1933 - 1933,4.72
584,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka OVA,3770,OVA,1,Dec 2016 - Dec 2016,7.05
585,Haou Daikei Ryuu Knight: Adeu Legend Final,8197,OVA,1,May 1996 - May 1996,6.14
586,Grancrest Senki: Tsuisou,6132,Special,1,Mar 2018 - Mar 2018,6.55
587,Clamp Gakuen Tanteidan,4671,TV,26,May 1997 - Oct 1997,6.84
588,Kaiketsu Zorori Da-Da-Da-Daibouken!,7909,Movie,1,Dec 2012 - Dec 2012,6.2
589,Chiisana Eiyuu: Kani to Tamago to Toumei Ningen,4728,Movie,3,Aug 2018 - Aug 2018,6.83
590,Asa made Jugyou Chu!,8633,OVA,1,Jun 2012 - Jun 2012,6.05
591,Dumbbell Nan Kilo Moteru?,2796,TV,12,Jul 2019 - Sep 2019,7.25
592,Slayers Evolution-R,2179,TV,13,Jan 2009 - Apr 2009,7.38
593,Allison to Lillia,2402,TV,26,Apr 2008 - Oct 2008,7.33
594,Kimi no Sumu Machi,9002,Special,1,Nov 2015 - Nov 2015,5.97
595,Bayonetta: Bloody Fate,5753,Movie,1,Nov 2013 - Nov 2013,6.62
596,Geneshaft,7306,TV,13,Apr 2001 - Jun 2001,6.32
597,Karakuri no Kimi,6710,OVA,1,Mar 2000 - Mar 2000,6.44
598,Captain Tsubasa no Koutsuu Anzen,7748,OVA,1,1987 - 1987,6.23
